Region;Stationsnamn;Stationsnummer;Latitud;Longitud;Aktiv
Västernorrland;Sundsvall-Råsta V;127230;62.43;17.34;1
Västernorrland;Sundsvalls Flygplats;127310;62.52;17.44;1
Värmland;Sunne A;93520;59.86;13.12;1
Stockholm;Svanberga A;98490;59.83;18.63;1
Jämtland;Sveg A;124030;62.05;14.41;1
Stockholm;Svenska Högarna;99270;59.44;19.51;1
Stockholm;Svenska högarna A;99280;59.44;19.51;1
Jämtland;Sylarna A;132030;63.04;12.28;1
Västra Götaland;Såtenäs;82260;58.44;12.71;1
Dalarna;Sälen-Högfjället V;113070;61.16;13.11;1
Norrbotten;Sävast V;161920;65.75;21.76;1
Stockholm;Söderarm A;99450;59.75;19.41;1
Norrbotten;Tarfala A;178970;67.91;18.61;1
Norrbotten;Tjåkaape Mo;169790;66.30;19.20;1
Jönköping;Tomtabacken A;74300;57.50;14.47;1
Västernorrland;Torpshammar A;126290;62.49;16.28;1
Halland;Torup A;63590;56.95;13.06;1
Stockholm;Tullinge A;97100;59.18;17.91;1
Jämtland;Tännäs A;122260;62.45;12.67;1
Halland;Ullared A;72090;57.11;12.78;1
Västerbotten;Umeå Flygplats;140480;63.79;20.29;1
Uppsala;Uppsala Aut;97510;59.86;17.63;1
Uppsala;Uppsala Flygplats;97530;59.90;17.59;1
Blekinge;Utklippan A;55570;55.95;15.70;1
Norrbotten;Vajmat V;169860;66.51;19.67;1
Norrbotten;Vidsel Mo;160970;65.88;20.15;1
Västerbotten;Vilhelmina A;146350;64.58;16.84;1
Västra Götaland;Vinga A;71380;57.63;11.61;1
Gotland;Visby Flygplats;78400;57.66;18.34;1
Jönköping;Visingsö A;84050;58.10;14.41;1
Västra Götaland;Väderöarna A;81350;58.58;11.07;1
Västernorrland;Västmarkum A;138070;63.13;18.26;1
Kronoberg;Växjö A;64510;56.85;14.83;1
Norrbotten;Ylinenjärvi A;173900;66.62;23.47;1
Gävleborg;Åmot A;106570;60.96;16.43;1
Jämtland;Åre-Björnänge V;133250;63.37;13.16;1
Västra Götaland;Åsbräcka-Torpabron V;82090;58.20;12.15;1
Västerbotten;Åsele A;147090;64.17;17.32;1
Dalarna;Älvdalen A;114140;61.25;14.04;1
Norrbotten;Älvsbyn A;161910;65.67;21.07;1
Kalmar;Ölands Norra Udde A;77210;57.37;17.10;1
Kalmar;Ölands Södra Udde A;66110;56.20;16.40;1
Kalmar;Ölandsbron V;66400;56.67;16.46;1
Örebro;Örebro A;95130;59.23;15.05;1
Västernorrland;Örnsköldsviks Flygplats;138240;63.41;18.98;1
Uppsala;Örskär A;108320;60.53;18.38;1
Gotland;Östergarnsholm A;78280;57.44;18.99;1
Norrbotten;Överkalix-Svartbyn A;172770;66.26;22.85;1
