Stationsnamn;Stationsnummer;Latitud;Longitud;Aktiv
KatterjÜkk;188820;68.4218;18.1698;1
KatterjÜkk A;188850;68.4217;18.1719;0
Kattuvuoma;189780;68.2833;19.9000;0
Kaunisvaara;183810;67.3612;23.3185;0
KaxÜs-èflo D;133300;63.4935;13.8797;0
Keinovuopio D;191960;68.8663;21.0337;0
KenttÑsaari D;172960;66.8155;22.8944;0
Kerstinbo A;106160;60.2688;16.9770;0
KerÑntîjÑrvi;182890;67.6375;22.9211;1
Kettstaka A;85460;58.7165;15.0300;0
Kilafors D;116150;61.2489;16.5572;1
KilagÜrden;83220;58.3565;13.2537;0
KillebÑckstorp;62230;56.3822;12.7491;0
Killingi;180860;67.5199;20.2736;0
Kilsbergen-Suttarboda A;94190;59.3000;14.8986;0
Kindsboda;73330;57.5559;13.2825;1
Kindsjîn D;102400;60.6591;12.7103;1
Kinnared;73610;57.0333;13.1166;0
Kiruna;180960;67.8500;20.2451;0
Kiruna flygplats;180940;67.8270;20.3387;0
Kisa D;75590;57.9845;15.6349;1
KittelfjÑll;155680;65.2500;15.5000;0
KittelfjÑll D;155770;65.2574;15.5269;1
Klamby;53740;55.6666;13.7333;0
KlimpfjÑll;154720;65.0620;14.7908;0
Klinte D;78220;57.3719;18.2463;0
Klippan;63070;56.1391;13.2516;1
Klippen;157970;65.8976;17.1126;1
Klocka;132190;63.2983;12.5060;0
Kloten;95530;59.8707;15.2544;1
Kloten A;95540;59.8709;15.2553;0
Klutmark;150640;64.7500;20.6333;0
KlÑdesholmen;71660;57.9500;11.5500;0
KlÑggerîd;53330;55.5666;13.5166;0
KlîvertrÑsk D;161900;65.6360;21.4173;1
Klîvsjî;124320;62.5335;14.2028;0
Klîvsjîhîjden A;124300;62.4961;14.1571;0
Knislinge;64150;56.2000;14.1000;0
Knivsta;97440;59.7243;17.8078;0
Knopparp D;53570;55.9299;13.8491;1
KnÑred;63630;56.5216;13.3369;0
KnÑred D;63320;56.5218;13.3364;1
KnÜs;103570;60.9676;13.8985;0
Koberg;82100;58.1666;12.4166;0
Koholma;99650;59.7333;19.0666;0
KolbÑck D;96330;59.5554;16.2875;0
Koler D;160850;65.5040;20.4675;1
Kolleberga;63610;56.0666;13.2666;0
KolmÜrden-Strîmsfors A;86420;58.6894;16.3103;0
Kolsva D;95360;59.5876;15.9153;1
Kompelusvaara;182720;67.0887;22.2265;0
Komperîd;82040;58.0600;12.0109;1
Komstorp;66170;56.2774;16.0197;1
Konga;65300;56.4918;15.1227;0
Kopparberg D;95520;59.8597;15.0479;1
Koppom D;92420;59.7037;12.1510;0
Korpilombolo;173950;66.8500;23.0666;0
Korpilombolo M;173960;66.8542;23.0571;0
Korsberga;75180;57.3048;15.1306;0
KorsselbrÑnna;145280;64.4571;15.5423;0
Korsvattnet A;133500;63.8395;13.5037;0
KorsÜ;106390;60.6380;16.1451;0
Koskats;170840;66.5074;20.2558;0
Krakstad;92110;59.1833;12.4833;0
Kramfors;127560;62.9290;17.7636;1
Kramfors-GistgÜrdsîn;137040;63.0502;17.7658;0
Kristianstad;64030;56.0133;14.2896;0
Kristianstad everîd;54550;55.9245;14.0842;0
Kristineberg;81150;58.2500;11.4500;0
Kristinefors;102240;60.3586;12.9430;0
Kristinehamn;94180;59.3107;14.1019;0
Krogstorp;84070;58.1058;14.0707;0
Krokshult D;76230;57.3853;16.0976;1
Kroksjî;148300;64.5073;17.9934;0
Krokstrîmmen;124710;62.0500;14.9000;0
KroppefjÑll-Granan A;82360;58.6068;12.1999;0
KrÑckelbÑcken;114330;61.5500;14.2000;0
KrÜkemÜla;76280;57.4694;16.6538;1
KrÜngede A;136090;63.1521;16.1733;0
Kubbe;138320;63.5173;18.0691;0
Kuggîren;117420;61.7027;17.5225;0
Kuggîren A;117430;61.7033;17.5250;0
KulbÑcksliden;149610;64.2000;19.5666;0
Kullen;62190;56.3012;12.4540;0
Kumla;95070;59.1248;15.1535;0
Kummavuopio;190970;68.9078;20.8670;0
Kungsberget D;106460;60.7651;16.4679;1
Kusmark D;150530;64.8846;20.8323;1
Kvarnberg D;114270;61.4398;14.8738;0
Kvikkjokk-èrrenjarka;167980;66.8834;18.0226;1
Kvikkjokk-èrrenjarka A;167990;66.8888;18.0234;0
KypÑsjÑrvi D;173760;66.1937;23.2295;1
Kyrkberg;156020;65.2666;16.7666;0
Kyrkerud;92630;59.3833;12.1166;0
KyrkonÑs;74500;57.8222;14.7188;0
KyrktÜsjî D;145150;64.2485;15.8478;1
KÑlarne;126580;62.9628;16.1075;1
KÑllsjî;72140;57.2323;12.7042;0
KÑrna;71510;57.8425;11.8075;0
KÑrnskogen;85650;58.8500;15.2833;0
KÑtkesuando;193730;68.1202;23.3283;1
KÑttbo;104510;60.8460;14.1912;0
KÑvlinge;53480;55.8000;13.1000;0
KÑvsjî D;73200;57.3222;13.9264;1
KÜllered D;72360;57.6095;12.0673;1
KÜrbîle;115590;61.9812;15.3235;0
KÜrsta;98400;59.6575;18.2718;0
Kîlsillre D;125240;62.3986;15.2137;1
Kîping;96310;59.5259;16.0192;0
Kîpinge;53270;55.4575;13.9379;0
Ladnivaara;180780;67.2566;20.2793;0
Laforsen;115570;61.9445;15.5013;0
Laholm D;62300;56.4946;12.9890;1
Lainio;182930;67.7615;22.3518;1
Laisaliden;155930;65.7666;15.1666;0
Laisvallsby;167730;66.1347;17.1748;0
LakatrÑsk A;171790;66.2801;21.1330;0
Landskrona D;52520;55.8659;12.8512;1
Landsort;87450;58.7430;17.8699;1
Landsort A;87440;58.7433;17.8716;0
Landvetter;72410;57.6874;12.2277;0
Landvetter Flygplats;72420;57.6678;12.2963;0
Lanna;83210;58.3476;13.1296;1
Lannavaara;192710;68.0502;21.9814;0
LansjÑrv;172890;66.6575;22.1935;0
LapptrÑsket;171770;66.2283;21.7881;0
Latikberg D;147390;64.6434;17.0866;1
Latnivaara A;180770;67.2564;20.2747;0
Lauker;159900;65.6453;19.8259;0
LaxbÑcken;146380;64.6389;16.4142;1
Laxviken;134470;63.7901;14.6784;0
Ledningsmark;148270;64.4500;18.1333;0
Leipikvattnet;144560;64.9298;14.1592;1
Lejen;104120;60.2000;14.4000;0
Lekeberga;94150;59.2317;14.8769;0
LeknÑs;106110;60.1245;16.5880;0
Leksand;105450;60.7256;15.0167;0
Lekvattnet D;102110;60.1332;12.7707;0
Lenhovda;65590;56.9893;15.2933;0
Lennartsfors;91620;59.3000;11.9333;0
Lernbo;105090;60.1500;15.3166;0
Lesjîfors D;94590;59.9785;14.1799;1
Lessebo;65450;56.7379;15.3495;1
Letafors D;102440;60.7397;12.6989;1
Lida D;96250;59.3658;16.0158;1
Liden D;126390;62.6553;16.8880;0
Lidingî;98220;59.3701;18.1600;0
Lidkîping;83320;58.4835;13.1479;1
Lidsjîberg;145180;64.3013;15.2210;0
LiehittÑjÑ;173780;66.2668;23.4184;0
Lillhamra D;114390;61.6420;14.7998;1
LillhÑrdal;114510;61.8547;14.0921;0
Limmared;73320;57.5415;13.3433;0
Lindesberg D;95350;59.5941;15.2352;0
Lindî;87560;58.9166;17.0333;0
Linhult D;72180;57.2949;12.6906;1
Linkîping D;85250;58.4214;15.7372;1
Linneryd;65390;56.6592;15.1381;0
Lisjî;96420;59.7017;16.0615;0
LisskogsÜsen;103310;60.5007;13.4433;0
Lit;134180;63.3081;14.8517;0
LitsnÑset;134170;63.3089;14.7065;1
Ljungby A;63510;56.8526;13.8822;0
Ljungby D;63500;56.8099;13.9694;1
Ljungbyhed;63050;56.0752;13.2318;0
Ljungdalen;122510;62.8543;12.8070;1
Ljungskile;81130;58.2159;11.9321;0
LjungÜ;126460;62.7594;16.3141;0
LjusbÑck;106090;60.1550;16.8595;0
Ljusdal;116500;61.8333;16.1333;0
Ljusdals-Valsjon;126120;62.1950;16.0367;1
Ljusne Strîmmar;117130;61.2116;17.0852;0
Ljusnedal;122330;62.5493;12.6043;0
LobonÑs D;115320;61.5338;15.3444;1
Lofsdalen;123070;62.1132;13.2841;0
Loftahammar;76540;57.9038;16.6962;0
Lommaryd;74530;57.8887;14.7342;0
Los D;115450;61.7256;15.1783;1
Louisefred;62150;56.2420;12.5778;1
Ludvika;105100;60.1415;15.1759;1
LuleÜ;162880;65.6200;22.1307;0
LuleÜ Flygplats;162860;65.5434;22.1193;0
LuleÜ-BergnÑset;162870;65.5762;22.1090;0
Lummelunda;78440;57.7409;18.4347;0
Lund;53430;55.6930;13.2290;0
Lundsberg;94300;59.4996;14.1635;0
Lundsjîn;134310;63.5195;14.5261;0
Lungsjîbacken;136720;63.4666;16.2666;0
Lungî A;128390;62.6431;18.0929;0
Lurî;83650;58.8000;13.2500;0
Lyckeby;65120;56.2142;15.7130;1
Lycksele;148350;64.5871;18.6587;0
Lycksele A;148330;64.5492;18.7169;0
LyckÜs;97240;59.4000;17.6666;0
Lyngby;53350;55.5833;13.3666;0
Lysekil D;81170;58.2713;11.4321;1
LÑngjum;83130;58.2212;13.0607;0
LÑnnÑs;137110;63.1663;17.6543;0
LÑnshult;64370;56.6083;14.0665;0
LÜngan D;134270;63.4555;14.4859;1
LÜnghult;63350;56.5850;13.4582;0
LÜngshyttan D;106280;60.4612;16.0620;1
LÜngstrîmmen;124050;62.1166;15.0000;0
LÜngtrÑsk D;159760;65.1953;19.2490;1
LÜngvattnet;156730;65.1049;16.6919;0
Lîrudden;127140;62.2314;17.6623;0
Lîten D;112020;61.0255;12.8399;1
Lîttorp D;76080;57.1555;16.9502;1
Lîvberga D;135580;63.9664;15.8533;1
Lîvestad;53400;55.6008;13.8920;0
Lîvlund;158970;65.9075;18.1507;0
LîvnÑs;113210;61.3445;13.3578;0
Lîvsjîn;134450;63.7500;14.7166;0
Lîvsta;107250;60.4086;17.8840;1
LîvÜker;106420;60.6840;16.3513;0
LîvÜnger;151220;64.3636;21.3152;0
Majenfors;63300;56.4969;13.4557;0
Malexander;85040;58.0729;15.2352;0
Malexander A;85050;58.0718;15.2359;0
MalkÑlen D;149230;64.3918;19.6903;1
Malmagen;122370;62.6094;12.1605;1
Malmberget;180750;67.1681;20.6389;1
MalmbÑck D;74360;57.5985;14.5206;1
MalmslÑtt;85240;58.4004;15.5327;0
Malmî;53360;55.5726;13.0776;1
Malmî 2;53370;55.6048;12.9841;0
Malmî A;52350;55.5714;13.0734;0
Malung;103410;60.6717;13.7058;0
Malung A;103420;60.6773;13.7100;0
MalÜ;158750;65.1808;18.7431;0
MalÜ-BrÑnnan A;158740;65.1522;18.5974;0
Marby D;134070;63.1220;14.2939;1
MarbÑck D;63410;56.7001;13.0332;1
Mariedal;62090;56.1443;12.7112;0
Mariedal N;83290;58.4833;13.4000;0
Mariedamm;85520;58.8509;15.1640;0
Mariefred;97170;59.2661;17.2342;1
Marielund;65130;56.2182;15.5331;0
Mariestad;83440;58.7136;13.8230;1
Markaryd;63280;56.4595;13.6191;0
Markusvinsa;172920;66.7265;22.9001;0
Marsliden;155720;65.0251;15.3668;0
Marviken;86330;58.5491;16.8157;0
Mattmar V;133180;63.3054;13.8767;0
Medhamn;93080;59.1333;13.9833;0
Medskogen;122270;62.4430;12.9673;1
Medstugan;132320;63.5269;12.4037;1
Mellansel;138260;63.4333;18.3500;0
MettÑ-Dokkas;181720;67.0676;21.2885;0
Mierkenies;166900;66.6798;16.1137;0
Mierkenis A;166910;66.6815;16.1088;0
Milsbo D;105270;60.4471;15.6284;0
Mitandersfors D;102050;60.0854;12.5198;0
MjuamÜla;65270;56.4405;15.3205;0
Mjîhult;73110;57.1858;13.1854;0
Mjîlby;85710;58.3333;15.1500;0
MjîlkbÑcken;164730;66.1041;14.8503;1
Mjîlkvattnet;133510;63.8500;13.3797;0
Mo;81650;58.7000;11.5500;0
MockfjÑrd D;104300;60.5082;14.9590;1
Moforsen;136220;63.3683;16.9912;0
Moheda D;74000;57.0064;14.5712;1
Molkom;93360;59.6166;13.7500;0
Molla;73570;57.9360;13.0668;0
MollsjînÑs D;72530;57.8638;12.1399;1
Mora;114010;61.0025;14.5874;0
Mora A;104580;60.9607;14.5070;0
MorjÑrv;172720;66.0728;22.7510;0
Morup;62590;56.9824;12.3911;0
MoskojÑrvi;181810;67.3746;21.0787;0
Moskosel-Abmohed D;159950;65.8549;19.4654;0
Mossen;77170;57.2833;17.0042;0
Mossfallet;103610;60.0166;13.9166;0
Motala;85330;58.5539;15.0145;0
Mullhyttan;94090;59.1500;14.6833;0
Mullsjî D;73560;57.9246;13.8806;1
MultrÜ D;137090;63.1681;17.4192;1
Munka-Ljungby;62130;56.2287;12.9834;0
Munkfors;93500;59.8482;13.5415;1
Munktorp D;96300;59.5238;16.2093;0
Munsvattnet;144160;64.2734;14.4510;0
Muodoslompolo;183980;67.9443;23.4441;0
Murjek D;170850;66.4771;20.9263;1
Myckelgensjî;137350;63.5772;17.5898;1
Mykinge;74720;57.9000;14.3166;0
Myrheden;160790;65.2960;20.2096;0
MyskelÜsen D;122200;62.3335;12.6470;1
MÜlilla;75240;57.3964;15.8315;0
MÜlilla A;75250;57.3848;15.8037;0
MÜngsbodarna;113050;61.0804;13.6189;1
MÜrtensboda D;150280;64.4489;20.9446;1
MÜseskÑr;81060;58.0944;11.3348;0
MÜseskÑr A;81050;58.0940;11.3333;0
Mîklinta;106050;60.0849;16.5477;0
Mîlnbacka;93710;59.6333;13.5666;0
Mîlndal;72390;57.6595;12.0368;0
MînsterÜs D;76020;57.0271;16.5057;1
MîrbylÜnga;66320;56.5256;16.3900;0
Mîrkî;73410;57.6881;13.7084;0
Mîrsil;133190;63.3193;13.6488;1
Naggen;126160;62.2790;15.9986;0
Naimakka;191900;68.6779;21.5277;0
Naimakka A;191910;68.6777;21.5274;0
Naisheden;172680;66.5333;22.3666;0
Nattavaara A;170930;66.7529;20.9281;0
Nattavaara By;171920;66.7586;21.0537;0
Nattavaara-VÜrsjî;170940;66.7791;20.5810;0
Nautijaur;169960;66.9044;19.2446;0
Naven A;83420;58.6998;13.1109;0
NedgÜrden;123570;62.9365;13.2534;0
Nianfors;116360;61.6021;16.7726;1
Niannoret;116740;61.6000;16.6000;0
Nidingen;71180;57.3025;11.9038;0
Nidingen A;71190;57.3040;11.9064;0
Nikkaluokta;179950;67.8488;19.0233;0
Nikkaluokta A;179960;67.8542;19.0253;0
Nilivaara;181770;67.2260;21.6072;0
NobynÑs D;74540;57.9110;14.7985;1
Nol;72660;57.9166;12.0666;0
Nolmyra;107060;60.1000;17.1166;0
Noppikoski;114630;61.5000;14.8500;0
Nora D;95300;59.5059;15.0347;1
Nora-ôstanî D;128500;62.8599;18.1795;1
Norberg;105060;60.0652;15.9111;1
NordanbÑck D;139440;63.7424;19.2951;1
NordanÜs;156840;65.4635;16.0904;1
NordanÜs;157020;65.6333;17.7333;0
Norderîn;134090;63.1618;14.3692;0
Nordkoster A;81540;58.8925;11.0062;0
Nordmaling;139340;63.5739;19.4875;0
Nordvik;128510;62.8485;18.0159;0
Noreborg;92710;59.7666;12.3333;0
Norjeby;64110;56.1166;14.6666;0
NornÑs D;113260;61.4306;13.2296;1
Norra BergnÑs;168820;66.3833;18.2333;0
Norra Mîckleby D;66380;56.6332;16.6703;1
Norra Strîî;64080;56.1049;14.0173;1
Norra Vi D;75540;57.8831;15.3286;1
Norra Viggen;102710;60.4833;12.7166;0
Norrby;148550;64.9238;18.2404;1
Norrby S;108040;60.0623;18.7422;1
Norrby SÑteri;87530;58.8907;17.1932;0
NorrbÑck;147430;64.7112;17.7154;0
Norrfors;138470;63.7705;18.9927;0
NorriÜn;171780;66.2500;21.8000;0
Norrkîping;86360;58.6060;16.2127;0
Norrkîping-KungsÑngen;86350;58.5842;16.2383;0
Norrkîping-SMHI;86340;58.5833;16.1500;0
Norrkîping-Sîrby;86370;58.6082;16.1212;0
Norrsundet;107560;60.9297;17.1561;1
NorrtÑlje;98460;59.7506;18.7091;0
NorrtÑlje-VÑsby;98510;59.8524;18.7296;0
Norrveda;98500;59.8298;18.9524;1
NorrÜker D;145260;64.4331;15.5985;0
Norsborg;97140;59.2401;17.7834;0
Norsborg 11;97160;59.2524;17.7989;1
Norsjî;149540;64.9093;19.4746;1
Norsjî A;149560;64.9263;19.3782;0
Notholmen;96180;59.2948;16.0053;0
Nyabyberg;75230;57.3911;15.2737;0
Nyberget;95440;59.7468;14.9925;0
Nybro-SlÑttingebygd D;65440;56.8507;15.9918;1
Nybyholm;97310;59.5296;17.0380;0
Nyckleby;97180;59.3000;17.7166;0
Nyhammar;104180;60.2915;14.9804;1
NyhamnslÑge;62140;56.2451;12.5438;1
Nyhyttan D;105190;60.3217;15.5566;0
Nykîpings Flygplats;86480;58.7833;16.9166;0
Nyland;147630;64.4833;17.3333;0
Nyluspen;146530;64.8788;16.7489;0
NynÑshamn;87570;58.9217;17.9248;1
NÑshulta;96110;59.1952;16.2795;1
NÑssjî;74390;57.6431;14.6895;0
NÑsÜker;136260;63.4188;16.9563;1
NÑvelsjî;74240;57.4397;14.8863;1
NÜs;104270;60.4494;14.4825;0
Ockelbo;106540;60.8982;16.7376;1
Offer;137070;63.1492;17.7617;0
Ogestad;76530;57.8748;16.1689;0
Ohs;64500;56.8371;14.5852;0
Olastorp;64250;56.4188;14.3546;0
Olden D;133420;63.6964;13.6504;1
Oldsjîn;137720;63.3333;17.4833;0
Olofstrîm;64170;56.2773;14.5177;0
Olstorp;75500;57.8333;15.1000;0
Omberg D;84220;58.3564;14.6969;1
Omne D;128570;62.9513;18.3643;0
Omsjî;137320;63.5319;17.1299;0
Onsala D;71230;57.3847;11.9749;1
Ora;108710;60.0200;18.0800;0
Orrbyn;162980;65.9446;22.1160;0
Orrefors D;65500;56.8216;15.7009;1
Orsa D;114070;61.1306;14.6380;1
Osby;63220;56.3742;13.9376;0
Osebol;103240;60.4000;13.2833;0
Oskarshamn;76160;57.2674;16.4149;0
Oskarstrîm;62480;56.7939;12.9731;0
Ovesholm;64000;55.9901;13.9934;0
Oxelby;96730;59.5500;16.2166;0
Oxelîsund;87400;58.6777;17.1223;1
Paharova;172950;66.8107;22.3408;0
Paharova A;172940;66.8107;22.3360;0
Pajala;183760;67.2101;23.3928;0
Pajala A;183750;67.2049;23.3952;0
Parakka;181850;67.4864;21.6687;1
Pardixhyttan;93430;59.7166;13.9166;0
Parkajoki;183920;67.7314;23.4860;0
Parkalompolo;182920;67.7312;22.8275;0
Parkalompolo A;182910;67.7315;22.8266;0
Paulistrîm;75290;57.4711;15.5037;0
Pengfors;139550;63.9333;19.6666;0
Pengsjî;137400;63.6666;17.8000;0
Persberg;94450;59.7494;14.2582;1
PetistrÑsk A;149340;64.5669;19.6983;0
Pite-RînnskÑr A;161710;65.0350;21.5655;0
PiteÜ;161790;65.2636;21.4776;0
Pitsund;161770;65.2300;21.5200;0
PjÑtteryd;64380;56.6199;14.0229;0
Porjus;169980;66.9594;19.8259;0
Porjus2 D;169990;66.9764;19.8443;0
PrÑstkulla;74440;57.7242;14.9860;1
Puoltsa;179940;67.7989;19.8596;0
Puottaure;170760;66.1861;20.2534;1
PÑrup D;53490;55.8096;13.7464;0
PÜlkem;171810;66.3888;21.6098;0
PÜlkem M;171820;66.3855;21.6167;0
Ramsele;136320;63.4914;16.4826;0
Ramsjî;125110;62.1843;15.6508;0
Ramsjîholm;74490;57.8429;14.4317;1
Randijaur;169930;66.7610;19.3166;0
Rankhyttan;105290;60.4833;15.7333;0
Ransaren D;155730;65.1391;15.0472;0
Ransjî;123120;62.1961;13.8743;0
Raukasjî;144550;64.9197;14.5567;0
Rebnisluspen;167820;66.4051;17.3331;0
Reftele D;73080;57.1691;13.6002;1
Regna D;85530;58.8595;15.6973;1
Remningstorp;83280;58.4529;13.6671;1
Rensjîn A;189720;68.0745;19.8392;0
RensjînÑset;132360;63.6000;12.6500;0
Renstad;84210;58.3097;14.7236;0
Resele;137200;63.3279;17.0676;1
Reymersholm;62010;56.0127;12.7218;0
Riddarhyttan;95490;59.8089;15.5391;1
RiksgrÑnsen;188830;68.4284;18.1302;0
Riksten;97110;59.1833;17.9167;0
Rimbo;98440;59.7487;18.3535;0
Rimsbo;116080;61.1333;16.1833;0
Rindî;98250;59.4166;18.3666;0
Ringhals;72150;57.2530;12.1032;0
Rings;78430;57.7166;18.6333;0
Rinkaby;64600;55.9833;14.2666;0
RisbÑck D;145420;64.7067;15.5385;0
Risinge;108110;60.1750;18.2272;1
RisnÑset D;146150;64.2507;16.4967;0
Rissna D;135040;63.0593;15.3441;1
Risungs;78490;57.8166;18.9333;0
Ritsem;177920;67.7261;17.4718;0
Ritsem A;177930;67.7262;17.4711;0
Robertsfors;150110;64.1935;20.8467;0
Roma;78310;57.5069;18.4539;0
Roma Aut;78300;57.4998;18.4639;0
Ronneby-BredÜkra;65160;56.2619;15.2742;0
Rossared D;72300;57.4850;12.1997;1
Rossîn;136560;63.9351;16.3731;1
RotnÑset D;125250;62.4001;15.4417;1
Rundbacken;127430;62.7101;17.1765;0
Rundvik D;139320;63.5422;19.4377;0
Runsa;97340;59.5593;17.8252;0
RuokojÑrvi;173880;66.6127;23.2980;0
Rusksele D;148490;64.8166;18.8886;1
Ryd;64620;56.4500;14.7166;0
Ryholm;84640;58.5819;14.2167;0
RyningsnÑs;75160;57.2666;15.9333;0
RÑfsebo D;64590;56.9857;14.2124;1
RÑmshyttan;105200;60.3333;15.2000;0
RÑtan;124280;62.4845;14.5440;1
RÑttvik;105540;60.8928;15.1087;0
RÜda;103000;59.9911;13.5948;0
RÜforsen;103630;60.4500;13.7666;0
RÜneÜ-Flakaberg;171800;66.3615;21.8470;0
RÜngedala A;73480;57.7848;13.1668;0
RÜnna;83630;58.4500;13.8333;0
RÜnÑs;98470;59.7833;18.3000;0
RÜsele;146260;64.4191;16.8120;0
RîbÑcksdalen;140490;63.8130;20.2398;0
Rîdkallen A;162790;65.3131;22.3753;0
Rîdupp;172840;66.4585;22.7855;1
Rîgle;62110;56.1833;12.8000;0
Rîke;63140;56.2393;13.5278;0
Rînnberga;156830;65.4333;16.7333;0
RînnskÑr;161670;65.0333;21.5666;0
Rîrastrand;81040;58.0582;11.6528;0
RîrbÑcksnÑs;112080;61.1269;12.8226;0
Rîrum;54380;55.6333;14.2666;0
Rîrvik D;74150;57.2377;14.5751;1
RîskÑr;98260;59.4166;18.1666;0
Rîslîv;63710;56.0166;13.7166;0
Rîssjî;138130;63.2203;18.3119;0
Rîsta;134150;63.2443;14.5535;0
Rîstebo;116230;61.3882;16.4295;0
Saarikoski D;191940;68.8050;21.2529;1
Sadiliden;157750;65.1709;17.8199;1
Sadjem D;171990;66.9615;21.2324;1
Saittarova A;182810;67.3376;22.2334;0
Saittarova D;182800;67.3345;22.2433;1
Sala;96550;59.9045;16.6607;1
Sala A;96560;59.9098;16.6875;0
Saltoluokta;178680;67.3833;18.5500;0
Sanda;78270;57.4255;18.2118;1
SandbÑckshult;76000;56.9835;16.2830;0
Sandhammaren;54230;55.3872;14.1947;0
Sandhamn D;98170;59.2899;18.9146;1
Sandhem;73580;57.9657;13.7804;1
SandnÑs;132450;63.7552;12.4316;1
Sandsjîbacka;72340;57.5571;12.0387;0
Sankt Olof;54390;55.6402;14.1273;0
Sanna;138080;63.1316;18.0733;0
Sanne;81380;58.6707;11.8739;0
Sarkavare;170920;66.7373;20.3603;0
Segerstad;66220;56.3689;16.5444;1
Seglehult;63560;56.9371;13.3393;0
Sickelsjî;95200;59.3290;15.8193;0
Sidsjî D;127220;62.3806;17.2855;1
Siksjî;147210;64.3433;17.7866;0
SikÜskÑlen;135380;63.6198;15.0929;0
Siljansfors;104530;60.8846;14.3786;0
Sillre;126470;62.7717;16.7236;0
Silverberg;156800;65.3496;16.1107;0
Silvergruvan;94510;59.8482;14.4790;0
SimeÜ;116340;61.5706;16.3277;1
SimlÜngsdalen;63440;56.7154;13.1247;0
Simonstorp;83050;58.0788;13.3957;0
Simonstorp_î;86470;58.7779;16.1255;0
Simontorp;53340;55.5833;13.5666;0
Simrishamn;54330;55.5449;14.3578;0
Singeshult;63450;56.7429;13.3608;0
Singî;108100;60.1595;18.7436;0
Sjîaryd;64630;56.5166;14.7500;0
Sjîberg;146500;64.8273;16.2655;0
Sjîbo D;53450;55.6405;13.6830;1
SjîgÑrde;87590;58.9752;17.8411;1
Sjîlund;73360;57.6000;13.9333;0
Sjîtofta D;73210;57.3848;13.2974;1
Skagsudde;139110;63.1885;19.0194;0
Skagsudde A;139120;63.1886;19.0202;0
Skallbîle;126220;62.3642;16.9660;0
Skalmodalen;154840;65.4485;14.5157;0
Skalmsjî;137640;63.5166;17.7666;0
Skara;83270;58.4072;13.4407;0
Skara;83620;58.4000;13.4500;0
Skara-Ekeberg;83240;58.4000;13.5500;0
Skara-Stenum;83200;58.3700;13.5200;0
Skara-VÑsterskog;83260;58.3800;13.3300;0
Skattungbyn D;114120;61.1988;14.8680;1
Skaulo;181830;67.4152;21.1195;0
Skedemosse D;66500;56.8070;16.7426;1
Skeen;63460;56.7591;13.6776;0
SkellefteÜ;150450;64.7584;20.9478;0
SkellefteÜ Flygplats;151380;64.6244;21.0717;0
Skeppshult D;73070;57.1215;13.4056;1
Skillingaryd;74270;57.4302;14.1004;1
Skillinge A;54290;55.4889;14.3172;0
Skillingmark;92490;59.8212;11.9991;0
Skinnskatteberg;95500;59.8333;15.6833;0
SkirknÑs;156920;65.7474;16.1978;0
Skirî;75220;57.3666;15.3833;0
Skjîrby;97330;59.5494;17.3699;1
Skogsforsen;72060;57.0944;12.8704;0
Skorped;137710;63.3833;17.8666;0
Skromberga;62000;56.0000;12.9833;0
SkrÜmforsen;94230;59.3785;14.6119;0
Skrîven D;171930;66.7757;21.8444;1
Skultuna;96440;59.7141;16.4362;1
Skurup D;53280;55.4405;13.4796;0
SkÑrblacka;85640;58.5666;15.9000;0
SkÑrkind D;85280;58.4855;16.0020;1
SkÑrvÜngen D;134440;63.7506;14.2938;0
SkÜlan;124390;62.6500;14.1666;0
SkÜnes fagerhult;63230;56.3666;13.4666;0
Skîldinge;96050;59.0578;16.4029;1
Skîllersta;95090;59.1441;15.2775;0
Skîvde;83230;58.3949;13.8436;0
SlagnÑs;158880;65.5970;18.1795;0
SlÑtvik;156930;65.7833;16.0500;0
Smygehuk;53200;55.3376;13.3563;0
SmÜlandsstenar;73100;57.1666;13.4166;0
Smîgen;81220;58.3571;11.2276;0
Snavlunda D;84580;58.9480;14.9056;0
SnîÜby;104310;60.5227;14.4594;0
Solberg;137470;63.7870;17.6517;0
Solberga;71570;57.9525;11.8155;0
SollefteÜ;137100;63.1748;17.2314;1
Sollerîn;104560;60.9380;14.5908;0
Sonnbo;106060;60.1197;16.2838;0
Sorsele;157860;65.5354;17.5225;0
Spannarboda D;95340;59.5801;15.5020;1
Spinkabo;74340;57.5653;14.4693;0
SpÜnsberget;105240;60.3828;15.1418;0
Stabbo;88580;58.9733;18.4493;0
Staffanstorp;53720;55.6500;13.2166;0
Stalon 11;145570;64.9451;15.8364;1
StavsnÑs A;98160;59.2996;18.7047;0
Stegeborg;86270;58.4333;16.6000;0
Stehag;53540;55.8814;13.4424;1
Stenfors;150120;64.1909;20.2977;0
Stenkvista;96210;59.3221;16.5577;0
Stensele;157720;65.0706;17.1536;0
Stenshuvud;54400;55.6646;14.2595;0
Stensjî;136160;63.2669;16.4446;0
Stenstugu FîrsîksgÜrd;78360;57.5979;18.4507;0
StentrÑsk;169020;66.3166;19.8333;0
Stenudden;167860;66.5343;17.6677;0
Stiby;54340;55.5629;14.1910;1
StjÑrnfors;95510;59.8333;15.0166;0
StjÑrnsund;106270;60.4551;16.2662;0
Stockholm;98210;59.3420;18.0575;1
Stockholm-Bromma;97200;59.3537;17.9513;0
Stora BlÜsjîn;144510;64.8176;14.1528;0
Stora hyltan;74620;57.2000;14.2500;0
